Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit
967,CA-2020-135279,4/9/2020,4/11/2020,First Class,BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,East,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,12.96,2,6.2208
968,CA-2020-135279,4/9/2020,4/11/2020,First Class,BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,East,OFF-PA-10001281,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Fine Perforations,191.6,4,91.968
969,CA-2020-135279,4/9/2020,4/11/2020,First Class,BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,East,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels,8.64,3,4.2336
970,CA-2020-135279,4/9/2020,4/11/2020,First Class,BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,East,OFF-ST-10001097,Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,501.81,3,0
975,US-2020-103247,10/5/2020,10/8/2020,Second Class,PO-19195,Phillina Ober,Home Office,United States,New York City,New York,East,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,160.93,7,3.2186
976,US-2020-103247,10/5/2020,10/8/2020,Second Class,PO-19195,Phillina Ober,Home Office,United States,New York City,New York,East,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,75.792,3,25.5798
977,US-2020-100209,7/9/2020,7/15/2020,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Portland,Oregon,West,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,2,-0.792
978,CA-2020-159366,1/7/2020,1/10/2020,First Class,BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,2,679.996
979,CA-2019-145499,5/30/2019,5/31/2019,First Class,RW-19690,Robert Waldorf,Consumer,United States,Wilmington,North Carolina,South,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,3.282,2,-2.6256
981,CA-2019-144939,10/3/2019,10/8/2019,Standard Class,EB-13870,Emily Burns,Consumer,United States,New York City,New York,East,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,599.292,6,93.2232
985,CA-2020-100314,9/29/2020,10/5/2020,Standard Class,AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,Central,OFF-LA-10001569,Office Supplies,Labels,Avery 499,7.968,2,2.5896
986,CA-2020-100314,9/29/2020,10/5/2020,Standard Class,AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,Central,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",27.968,4,9.4392
987,CA-2020-100314,9/29/2020,10/5/2020,Standard Class,AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,Central,TEC-MA-10003066,Technology,Machines,Wasp CCD Handheld Bar Code Reader,336.51,3,44.868
989,CA-2020-167899,5/21/2020,5/26/2020,Standard Class,JG-15805,John Grady,Corporate,United States,Auburn,New York,East,FUR-FU-10004071,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,520.05,5,72.807
990,CA-2020-167899,5/21/2020,5/26/2020,Standard Class,JG-15805,John Grady,Corporate,United States,Auburn,New York,East,OFF-AR-10001988,Office Supplies,Art,Bulldog Table or Wall-Mount Pencil Sharpener,17.97,3,5.2113
992,CA-2019-110023,9/9/2019,9/11/2019,First Class,TS-21610,Troy Staebel,Consumer,United States,New York City,New York,East,OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,14.624,2,5.484
993,CA-2019-105585,8/26/2019,8/27/2019,First Class,RF-19735,Roland Fjeld,Consumer,United States,San Jose,California,West,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,10.23,3,4.9104
994,CA-2019-105585,8/26/2019,8/27/2019,First Class,RF-19735,Roland Fjeld,Consumer,United States,San Jose,California,West,OFF-PA-10003625,Office Supplies,Paper,Xerox 1979,154.9,5,69.705
1001,CA-2019-155488,11/13/2019,11/17/2019,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Vancouver,Washington,West,OFF-AR-10002956,Office Supplies,Art,Boston 16801 Nautilus Battery Pencil Sharpener,44.02,2,11.4452
1009,US-2020-106705,12/26/2020,1/1/2019,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,Burlington,Iowa,Central,OFF-PA-10001509,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",44.75,5,20.585
1010,CA-2020-135034,8/1/2020,8/3/2020,First Class,AT-10735,Annie Thurman,Consumer,United States,Chicago,Illinois,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,95.984,2,5.999
1012,CA-2020-118437,6/17/2020,6/21/2020,Second Class,PF-19165,Philip Fox,Consumer,United States,Olympia,Washington,West,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",155.25,3,46.575
1013,CA-2020-118437,6/17/2020,6/21/2020,Second Class,PF-19165,Philip Fox,Consumer,United States,Olympia,Washington,West,OFF-ST-10003722,Office Supplies,Storage,Project Tote Personal File,14.03,1,4.0687
1025,CA-2020-106964,12/17/2020,12/20/2020,First Class,HR-14770,Hallie Redmond,Home Office,United States,Los Angeles,California,West,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,11.808,2,4.2804
1026,CA-2019-126529,1/11/2019,1/13/2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,15.552,3,5.4432
1027,CA-2019-126529,1/11/2019,1/13/2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,63.312,3,20.5764
1028,CA-2019-126529,1/11/2019,1/13/2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2,-9.8724
1034,CA-2019-109820,11/20/2019,11/22/2019,First Class,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,East,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,15.696,3,5.1012
1035,CA-2019-109820,11/20/2019,11/22/2019,First Class,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,East,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,2.628,2,-1.9272
1036,CA-2019-109820,11/20/2019,11/22/2019,First Class,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,14.427,3,-10.5798
1037,CA-2019-113061,4/22/2019,4/26/2019,Standard Class,EL-13735,Ed Ludwig,Home Office,United States,Jefferson City,Missouri,Central,FUR-FU-10003975,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,86.62,2,8.662
1039,CA-2020-121818,11/20/2020,11/21/2020,First Class,JH-15430,Jennifer Halladay,Consumer,United States,Burlington,North Carolina,South,OFF-AR-10000203,Office Supplies,Art,Newell 336,23.968,7,2.6964
1040,CA-2020-121818,11/20/2020,11/21/2020,First Class,JH-15430,Jennifer Halladay,Consumer,United States,Burlington,North Carolina,South,OFF-AR-10004790,Office Supplies,Art,Staples in misc. colors,28.728,3,1.7955
1041,CA-2019-127670,3/20/2019,3/24/2019,Standard Class,RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,Central,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,697.16,4,146.4036
1042,CA-2019-102981,9/6/2019,9/9/2019,Second Class,MO-17500,Mary O'Rourke,Consumer,United States,New York City,New York,East,TEC-AC-10004761,Technology,Accessories,Maxell 4.7GB DVD+RW 3/Pack,31.86,2,11.151
1043,CA-2019-102981,9/6/2019,9/9/2019,Second Class,MO-17500,Mary O'Rourke,Consumer,United States,New York City,New York,East,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",722.352,3,90.294
1044,CA-2020-115651,7/9/2020,7/12/2020,First Class,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,Central,OFF-AR-10001130,Office Supplies,Art,"Quartet Alpha White Chalk, 12/Pack",8.84,5,2.9835
1045,CA-2020-115651,7/9/2020,7/12/2020,First Class,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,Central,OFF-AP-10000055,Office Supplies,Appliances,Belkin F9S820V06 8 Outlet Surge,58.464,9,-146.16
1046,CA-2020-152702,10/12/2020,10/16/2020,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Rockford,Illinois,Central,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black",254.604,14,-18.186
1047,CA-2019-169103,3/8/2019,3/13/2019,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Miami,Florida,South,TEC-PH-10001530,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1363.96,5,85.2475
1048,CA-2019-169103,3/8/2019,3/13/2019,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Miami,Florida,South,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385
1058,CA-2020-167150,12/10/2020,12/17/2020,Standard Class,BP-11185,Ben Peterman,Corporate,United States,San Diego,California,West,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,19.936,4,7.2268
1059,CA-2020-167150,12/10/2020,12/17/2020,Standard Class,BP-11185,Ben Peterman,Corporate,United States,San Diego,California,West,OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",65.568,2,22.9488
1060,CA-2019-105284,11/24/2019,12/1/2019,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-FA-10001754,Office Supplies,Fasteners,Stockwell Gold Paper Clips,4.416,3,1.6008
1068,CA-2019-157686,10/1/2019,10/2/2019,First Class,BD-11620,Brian DeCherney,Consumer,United States,San Francisco,California,West,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",194.848,4,12.178
1069,US-2020-139955,9/28/2020,9/30/2020,Second Class,CM-12160,Charles McCrossin,Consumer,United States,Brownsville,Texas,Central,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,1.744,1,-0.3488
1072,CA-2019-152814,4/28/2019,5/2/2019,Standard Class,EH-14005,Erica Hernandez,Home Office,United States,Denver,Colorado,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,29.472,3,9.9468
1073,CA-2020-106943,11/14/2020,11/19/2020,Standard Class,FO-14305,Frank Olsen,Consumer,United States,New York City,New York,East,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,8.64,2,3.024
1074,CA-2019-134348,11/12/2019,11/19/2019,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Mesa,Arizona,West,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,6.27,5,-4.598
1075,CA-2019-134348,11/12/2019,11/19/2019,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Mesa,Arizona,West,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,4.368,7,-3.3488
1076,CA-2019-134348,11/12/2019,11/19/2019,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Mesa,Arizona,West,TEC-AC-10003447,Technology,Accessories,Micropad Numeric Keypads,31.984,2,1.999
1077,CA-2019-161781,9/29/2019,9/30/2019,First Class,CC-12100,Chad Cunningham,Home Office,United States,Columbus,Indiana,Central,OFF-AR-10000255,Office Supplies,Art,Newell 328,40.88,7,10.6288
1078,CA-2020-132521,9/23/2020,9/25/2020,Second Class,DW-13540,Don Weiss,Consumer,United States,Seattle,Washington,West,OFF-AP-10002191,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,119.96,2,33.5888
1079,CA-2020-132521,9/23/2020,9/25/2020,Second Class,DW-13540,Don Weiss,Consumer,United States,Seattle,Washington,West,OFF-ST-10001325,Office Supplies,Storage,Sterilite Officeware Hinged File Box,31.44,3,8.4888
1080,CA-2020-132521,9/23/2020,9/25/2020,Second Class,DW-13540,Don Weiss,Consumer,United States,Seattle,Washington,West,OFF-BI-10000404,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,6.88,1,2.322
1083,US-2019-143819,3/1/2019,3/5/2019,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,East,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,836.592,8,-264.9208
1084,US-2019-143819,3/1/2019,3/5/2019,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,East,OFF-PA-10003127,Office Supplies,Paper,Easy-staple paper,26.38,1,12.1348
1085,US-2019-143819,3/1/2019,3/5/2019,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,East,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,362.92,2,105.2468
1086,US-2019-143819,3/1/2019,3/5/2019,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93,7,2400.9657
1087,CA-2019-167584,8/12/2019,8/12/2019,Same Day,LC-16870,Lena Cacioppo,Consumer,United States,Des Moines,Iowa,Central,OFF-PA-10000029,Office Supplies,Paper,Xerox 224,6.48,1,3.1104
1088,CA-2019-166163,8/15/2019,8/20/2019,Second Class,CY-12745,Craig Yedwab,Corporate,United States,Oakland,California,West,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),71.976,3,7.1976
1089,CA-2019-166163,8/15/2019,8/20/2019,Second Class,CY-12745,Craig Yedwab,Corporate,United States,Oakland,California,West,OFF-LA-10000452,Office Supplies,Labels,Avery 488,3.15,1,1.512
1090,CA-2020-158407,6/4/2020,6/10/2020,Standard Class,LW-16990,Lindsay Williams,Corporate,United States,Monroe,North Carolina,South,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,31.984,2,1.999
1091,CA-2020-158407,6/4/2020,6/10/2020,Standard Class,LW-16990,Lindsay Williams,Corporate,United States,Monroe,North Carolina,South,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,71.984,2,25.1944
1096,CA-2020-160423,1/21/2020,1/26/2020,Standard Class,PS-19045,Penelope Sewall,Home Office,United States,Charlotte,North Carolina,South,OFF-ST-10004340,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",348.208,7,30.4682
1097,CA-2020-160423,1/21/2020,1/26/2020,Standard Class,PS-19045,Penelope Sewall,Home Office,United States,Charlotte,North Carolina,South,OFF-BI-10004001,Office Supplies,Binders,GBC Recycled VeloBinder Covers,35.784,7,-28.6272
1099,CA-2019-107216,6/14/2019,6/17/2019,First Class,PV-18985,Paul Van Hugh,Home Office,United States,San Francisco,California,West,OFF-AR-10001545,Office Supplies,Art,Newell 326,7.04,4,2.0416
1100,CA-2019-107216,6/14/2019,6/17/2019,First Class,PV-18985,Paul Van Hugh,Home Office,United States,San Francisco,California,West,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",8.73,3,4.1031
1101,CA-2019-107216,6/14/2019,6/17/2019,First Class,PV-18985,Paul Van Hugh,Home Office,United States,San Francisco,California,West,TEC-AC-10001013,Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,29.29,1,9.6657
1102,CA-2019-107216,6/14/2019,6/17/2019,First Class,PV-18985,Paul Van Hugh,Home Office,United States,San Francisco,California,West,OFF-AR-10002255,Office Supplies,Art,Newell 346,8.64,3,2.5056
1103,US-2020-145863,4/21/2020,4/27/2020,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Houston,Texas,Central,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,2.694,3,-4.7145
1104,US-2020-145863,4/21/2020,4/27/2020,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Houston,Texas,Central,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,2.934,3,-4.9878
1105,CA-2019-112340,10/21/2019,10/27/2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Riverside,California,West,OFF-PA-10001892,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",22.92,3,11.2308
1106,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",100.704,6,-16.3644
1107,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.328,2,-0.7566
1108,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",10.78,5,-17.248
1109,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,OFF-FA-10003495,Office Supplies,Fasteners,Staples,58.368,12,21.888
1110,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,OFF-EN-10003798,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",40.968,3,13.8267
1111,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,TEC-PH-10003589,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,71.96,5,25.186
1112,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,10.368,2,3.6288
1113,US-2019-110156,11/19/2019,11/24/2019,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.192,2,-2.0264
1114,CA-2020-140585,12/18/2020,12/23/2020,Second Class,RA-19915,Russell Applegate,Consumer,United States,Encinitas,California,West,OFF-BI-10003364,Office Supplies,Binders,Binding Machine Supplies,46.672,2,16.3352
1115,CA-2020-140585,12/18/2020,12/23/2020,Second Class,RA-19915,Russell Applegate,Consumer,United States,Encinitas,California,West,FUR-BO-10002206,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,1,-12.6882
1116,CA-2020-140585,12/18/2020,12/23/2020,Second Class,RA-19915,Russell Applegate,Consumer,United States,Encinitas,California,West,TEC-AC-10003610,Technology,Accessories,Logitech Illuminated - Keyboard,119.98,2,57.5904
1117,CA-2019-144855,7/22/2019,7/24/2019,Second Class,DL-13495,Dionis Lloyd,Corporate,United States,San Francisco,California,West,OFF-LA-10003766,Office Supplies,Labels,Self-Adhesive Removable Labels,6.3,2,3.024
1130,CA-2019-112102,4/12/2019,4/16/2019,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,Springfield,Virginia,South,FUR-TA-10004086,Furniture,Tables,KI Adjustable-Height Table,343.92,4,75.6624
1131,CA-2019-112102,4/12/2019,4/16/2019,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,40.99,1,20.0851
1132,CA-2019-112102,4/12/2019,4/16/2019,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,Springfield,Virginia,South,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,63.9,5,28.755
1133,US-2019-114776,12/6/2019,12/7/2019,First Class,GG-14650,Greg Guthrie,Corporate,United States,Antioch,California,West,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,19.44,3,9.3312
1134,US-2019-134908,6/5/2019,6/9/2019,Standard Class,JS-15940,Joni Sundaresam,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",124.608,4,-23.364
1135,US-2019-134908,6/5/2019,6/9/2019,Standard Class,JS-15940,Joni Sundaresam,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-LA-10000973,Office Supplies,Labels,Avery 502,7.56,3,2.646
1136,US-2019-148803,12/11/2019,12/11/2019,Same Day,LR-16915,Lena Radford,Consumer,United States,Homestead,Florida,South,OFF-ST-10001476,Office Supplies,Storage,Steel Personal Filing/Posting Tote,85.224,3,7.4571
1137,CA-2019-152170,11/12/2019,11/15/2019,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,Central,OFF-EN-10002831,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",287.52,8,129.384
1138,CA-2019-152170,11/12/2019,11/15/2019,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,Central,OFF-AP-10002350,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,37.68,2,10.5504
1139,CA-2019-152170,11/12/2019,11/15/2019,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,Central,OFF-PA-10001763,Office Supplies,Paper,Xerox 1896,19.98,2,8.991
1140,CA-2019-152170,11/12/2019,11/15/2019,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,Central,OFF-AR-10003394,Office Supplies,Art,Newell 332,20.58,7,5.5566
1141,CA-2019-152170,11/12/2019,11/15/2019,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,Central,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,17.38,2,8.69
1153,CA-2019-160395,12/31/2019,1/6/2020,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,Reno,Nevada,West,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",3.64,2,1.638
1154,CA-2019-160395,12/31/2019,1/6/2020,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,Reno,Nevada,West,OFF-BI-10003984,Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',159.768,7,53.9217
1159,CA-2019-149314,7/2/2019,7/7/2019,Second Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,West,FUR-CH-10002126,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,195.184,1,19.5184
1160,CA-2020-147039,6/29/2020,7/4/2020,Standard Class,AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,Central,OFF-AP-10000576,Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",362.94,3,90.735
1161,CA-2020-147039,6/29/2020,7/4/2020,Standard Class,AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,Central,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,11.54,2,5.77
1168,CA-2020-145226,12/8/2020,12/10/2020,Second Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,East,FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",109.48,2,33.9388
1169,CA-2020-145226,12/8/2020,12/10/2020,Second Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,East,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,272.94,3,0
1170,CA-2020-145226,12/8/2020,12/10/2020,Second Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,East,OFF-PA-10003172,Office Supplies,Paper,Xerox 1996,19.44,3,9.3312
1171,CA-2020-145226,12/8/2020,12/10/2020,Second Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,East,OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,31.92,4,8.2992
1176,CA-2019-161207,8/29/2019,9/3/2019,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Concord,New Hampshire,East,OFF-SU-10000381,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,27.93,3,8.0997
1178,CA-2019-113621,12/1/2019,12/5/2019,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Rockville,Maryland,East,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,172.5,2,51.75
1179,CA-2019-113621,12/1/2019,12/5/2019,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Rockville,Maryland,East,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,179.97,3,44.9925
1180,CA-2019-168081,4/24/2019,4/27/2019,Second Class,CA-12055,Cathy Armstrong,Home Office,United States,Houston,Texas,Central,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,258.696,3,64.674
1183,CA-2020-138779,1/14/2020,1/15/2020,First Class,RB-19570,Rob Beeghly,Consumer,United States,Jacksonville,North Carolina,South,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",21.744,1,7.3386
1184,CA-2020-138779,1/14/2020,1/15/2020,First Class,RB-19570,Rob Beeghly,Consumer,United States,Jacksonville,North Carolina,South,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,7.92,5,0.693
1189,CA-2020-117212,2/26/2020,2/28/2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,81.92,4,22.1184
1190,CA-2020-117212,2/26/2020,2/28/2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,889.536,8,66.7152
1191,CA-2020-117212,2/26/2020,2/28/2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,892.224,3,89.2224
1192,CA-2020-117212,2/26/2020,2/28/2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1908,223.92,4,109.7208
1193,CA-2020-117212,2/26/2020,2/28/2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,OFF-PA-10000682,Office Supplies,Paper,Xerox 1924,23.12,4,11.3288
1198,CA-2019-130946,4/8/2019,4/12/2019,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,Central,TEC-AC-10001990,Technology,Accessories,Kensington Orbit Wireless Mobile Trackball for PC and Mac,431.928,9,64.7892
